駅名(漢字)	読み	頭文字	母音	県	会社	路線	廃駅	文字数
女学院前	じょがくいんまえ	じ	OAUINAE	広島県	広島電鉄	白島線		4
女学校前	じょがっこうまえ	じ	OAOOAE	香川県	琴平急行電鉄		D	4
渚滑	しょこつ	し	OOU	北海道	国鉄	名寄本線	D	2
初山別	しょさんべつ	し	OANEU	北海道	国鉄	羽幌線	D	3
女子大	じょしだい	じ	OIAI	千葉県	山万	ユーカリが丘線		3
勝幡	しょばた	し	OAA	愛知県	名鉄	津島線		2
庶路	しょろ	し	OO	北海道	JR北海道	根室本線		2
白井海岸	しらいかいがん	し	IAIAIAN	岩手県	三陸鉄道	リアス線		4
白市	しらいち	し	IAII	広島県	JR西日本	山陽本線		2
白糸台	しらいとだい	し	IAIOAI	東京都	西武	多摩川線		3
白岩	しらいわ	し	IAIA	山形県	山形交通	三山線	D	2
白老	しらおい	し	IAOI	北海道	JR北海道	室蘭本線		2
白岡	しらおか	し	IAOA	埼玉県	JR東日本	東北本線		2
白神岳登山口	しらかみだけとざんぐち	し	IAAIAEOANUI	青森県	JR東日本	五能線		6
白河	しらかわ	し	IAAA	福島県	JR東日本	東北本線		2
白川口	しらかわぐち	し	IAAAUI	岐阜県	JR東海	高山本線		3
白木	しらき	し	IAI	三重県	近鉄	志摩線		2
白木(大分)	しらき	し	IAI	大分県	大分交通	別大線	D	2
白木城	しらきじょう	し	IAIOO	福島県	日本硫黄沼尻鉄道		D	3
白木原	しらきばる	し	IAIAU	福岡県	西鉄	天神大牟田線		3
白木山	しらきやま	し	IAIAA	広島県	JR西日本	芸備線		3
白坂	しらさか	し	IAAA	福島県	JR東日本	東北本線		2
白鷺	しらさぎ	し	IAAI	大阪府	南海	高野線		2
白沢(秋田)	しらさわ	し	IAAA	秋田県	JR東日本	奥羽本線		2
白沢(鹿児島)	しらさわ	し	IAAA	鹿児島県	JR九州	指宿枕崎線		2
白沢(愛知)	しらさわ	し	IAAA	愛知県	名鉄	河和線		2
白沢渓谷	しらさわけいこく	し	IAAAEIOU	愛知県	名古屋ガイドウェイバス			4
白地	しらじ	し	IAI	大分県	大分交通	耶馬溪線	D	2
白滝	しらたき	し	IAAI	北海道	JR北海道	石北本線		2
白塚	しらつか	し	IAUA	三重県	近鉄	名古屋線		2
白庭台	しらにわだい	し	IAIAAI	奈良県	近鉄	けいはんな線		3
白糠	しらぬか	し	IAUA	北海道	JR北海道	根室本線		2
白浜	しらはま	し	IAAA	和歌山県	JR西日本	紀勢本線		2
白浜海水浴場前	しらはまかいすいよくじょうまえ	し	IAAAAIUIOUOOAE	長崎県	島原鉄道		D	7
白浜の宮	しらはまのみや	し	IAAAOIA	兵庫県	山陽電鉄	本線		4
しらび平	しらびだいら	し	IAIAIA	長野県	駒ヶ岳ロープウェイ			4
白符	しらふ	し	IAU	北海道	JR北海道	松前線	D	2
白山(香川)	しらやま	し	IAAA	香川県	琴電	長尾線		2
知内[北海道]	しりうち	し	IIUI	北海道	JR北海道	江差線	D	2
尻内[青森]	しりうち	し	IIUI	青森県	南部鉄道		D	2
市立体育館前	しりつたいいくかんまえ	し	IIUAIIUANAE	熊本県	熊本市電	健軍線		6
市立病院前(鹿児島)	しりつびょういんまえ	し	IIUOOINAE	鹿児島県	鹿児島市電	唐湊線		5
市立病院前(沖縄)	しりつびょういんまえ	し	IIUOOINAE	沖縄県	ゆいレール			5
知人(貨)	しれと	し	IEO	北海道	太平洋石炭販売輸送			2
知床斜里	しれとこしゃり	し	IEOOAI	北海道	JR北海道	釧網本線		4
白井	しろい	し	IOI	千葉県	北総鉄道			2
白石(JR北海道)	しろいし	し	IAII	北海道	JR北海道	函館本線		2
白石(宮城)	しろいし	し	IOII	宮城県	JR東日本	東北本線		2
白石(熊本)	しろいし	し	IOII	熊本県	JR九州	肥薩線		2
白石(札幌市営)	しろいし	し	IOII	北海道	札幌市営地下鉄	東西線		2
白石蔵王	しろいしざおう	し	IOIIAOO	宮城県	JR東日本	東北新幹線		4
四郎ヶ原	しろうがはら	し	IOOAAA	山口県	JR西日本	美祢線		4
白兎	しろうさぎ	し	IOUAI	山形県	山形鉄道	フラワー長井線		2
次郎丸	じろうまる	じ	IOOAU	福岡県	福岡市営地下鉄	七隈線		3
治良門橋	じろえんばし	じ	IOENAI	群馬県	東武	桐生線		4
白銀	しろがね	し	IOAE	青森県	JR東日本	八戸線		2
白金台	しろかねだい	し	IOAEAI	東京都	東京メトロ	南北線		3
白金高輪	しろかねたかなわ	し	IOAEAAAA	東京都	東京メトロ	南北線		4
城北公園通	しろきたこうえんどおり	し	IOIAOOENOOI	大阪府	JR西日本	おおさか東線		5
白久	しろく	し	IOU	埼玉県	秩父鉄道			2
白子	しろこ	し	IOO	三重県	近鉄	名古屋線		2
城下(長野)	しろした	し	IOIA	長野県	上田電鉄			2
城下(岡山)	しろした	し	IOIA	岡山県	岡山電軌	東山本線		2
白津	しろづ	し	IOU	福島県	日本硫黄沼尻鉄道		D	2
白鳥高原	しろとりこうげん	し	IOOIOOEN	岐阜県	長良川鉄道			4
城西	しろにし	し	IOII	静岡県	JR東海	飯田線		2
白丸	しろまる	し	IOAU	東京都	JR東日本	青梅線		2
城見ヶ丘	しろみがおか	し	IOIAOA	千葉県	いすみ鉄道			4
志和口	しわぐち	し	IAUI	広島県	JR西日本	芸備線		3
志和地	しわち	し	IAI	広島県	JR西日本	芸備線		3
紫波中央	しわちゅうおう	し	IAUUOO	岩手県	JR東日本	東北本線		4
仁愛女子高校	じんあいじょしこうこう	じ	INAIOIOOOO	福井県	福井鉄道	福武線		6
新相ノ木	しんあいのき	し	INAIOI	富山県	富山地鉄	本線		4
新青森	しんあおもり	し	INAOOI	青森県	JR東日本	奥羽本線		3
新秋津	しんあきつ	し	INAIU	東京都	JR東日本	武蔵野線		3
新旭	しんあさひ	し	INAAI	滋賀県	JR西日本	湖西線		2
新旭川	しんあさひかわ	し	INAAIAA	北海道	JR北海道	宗谷本線		3
新安城	しんあんじょう	し	INANOO	愛知県	名鉄	名古屋本線		3
新飯塚	しんいいづか	し	INIIUA	福岡県	JR九州	筑豊本線		3
新石切	しんいしきり	し	INIIII	大阪府	近鉄	けいはんな線		3
新伊勢崎	しんいせさき	し	INIEAI	群馬県	東武	伊勢崎線		4
新板橋	しんいたばし	し	INIAAI	東京都	都営地下鉄	三田線		3
新伊丹	しんいたみ	し	INIAI	兵庫県	阪急	伊丹線		3
新市	しんいち	し	INII	広島県	JR西日本	福塩線		2
新井口	しんいのくち	し	INIOUI	広島県	JR西日本	山陽本線		3
新今宮	しんいまみや	し	INIAIA	大阪府	JR西日本	大阪環状線		3
新今宮駅前	しんいまみやえきまえ	し	INIAIAEIAE	大阪府	阪堺電軌	阪堺線		5
新岩国	しんいわくに	し	INIAUI	山口県	JR西日本	山陽新幹線		3
新魚津	しんうおづ	し	INUOU	富山県	富山地鉄	本線		3
新鵜沼	しんうぬま	し	INUUA	岐阜県	名鉄	犬山線		3
新浦安	しんうらやす	し	INUAAU	千葉県	JR東日本	京葉線		3
新上挙母	しんうわごろも	し	INUAOOO	愛知県	愛知環状鉄道			4
新江古田	しんえごた	し	INEOA	東京都	都営地下鉄	大江戸線		4
新王寺	しんおうじ	し	INOOI	奈良県	近鉄	田原本線		3
新大久保	しんおおくぼ	し	INOOUO	東京都	JR東日本	山手線		4
新大阪	しんおおさか	し	INOOAA	大阪府	JR西日本	東海道本線		3
新大滝	しんおおたき	し	INOOAI	北海道	国鉄	胆振線	D	3
新大津	しんおおつ	し	INOOU	神奈川県	京急	久里浜線		3
新大塚	しんおおつか	し	INOOUA	東京都	東京メトロ	丸ノ内線		3
新大平下	しんおおひらした	し	INOOIAIA	栃木県	東武	日光線		4
新大宮	しんおおみや	し	INOOIA	奈良県	近鉄	奈良線		3
新大牟田	しんおおむた	し	INOOUA	福岡県	JR九州	九州新幹線		4
新御徒町	しんおかちまち	し	INOAIAI	東京都	つくばエクスプレス			4
新大楽毛	しんおたのしけ	し	INOAOIE	北海道	JR北海道	根室本線		4
新御茶ノ水	しんおちゃのみず	し	INOAOIU	東京都	東京メトロ	千代田線		5
新尾道	しんおのみち	し	INOOII	広島県	JR西日本	山陽新幹線		3
新改	しんがい	し	INAI	高知県	JR四国	土讃線		2
新開地	しんかいち	し	INAII	兵庫県	神戸高速鉄道			3
新河岸	しんがし	し	INAI	埼玉県	東武	東上線		3
新柏	しんかしわ	し	INAIA	千葉県	東武	野田線		2
新金岡	しんかなおか	し	INAAOA	大阪府	大阪市高速電気軌道	御堂筋線		3
新金谷	しんかなや	し	INAAA	静岡県	大井川鐵道	本線		3
新可児	しんかに	し	INAI	岐阜県	名鉄	広見線		3
新鹿沼	しんかぬま	し	INAUA	栃木県	東武	日光線		3
新加納	しんかのう	し	INAOO	岐阜県	名鉄	各務原線		3
新鎌ヶ谷	しんかまがや	し	INAAAA	千葉県	東武	野田線		4
新加美	しんかみ	し	INAI	大阪府	JR西日本	おおさか東線		3
新川(北海道)	しんかわ	し	INAA	北海道	JR北海道	札沼線		2
新川(愛知)	しんかわ	し	INAA	愛知県	豊橋鉄道	東田本線		2
新川(愛媛)	しんかわ	し	INAA	愛媛県	伊予鉄道	郡中線		2
新川(大分)	しんかわ	し	INAA	大分県	大分交通	別大線	D	2
新川崎	しんかわさき	し	INAAAI	神奈川県	JR東日本	品鶴線		3
新川町(北海道)	しんかわちょう	し	INAAOO	北海道	函館市電	湯の川線		3
新川橋	しんかわばし	し	INAAAI	愛知県	名鉄	名古屋本線		3
新川町(愛知)	しんかわまち	し	INAAAI	愛知県	名鉄	三河線		3
新蒲原	しんかんばら	し	INANAA	静岡県	JR東海	東海道本線		3
新木(高知)	しんぎ	し	INI	高知県	とさでん	後免線		2
新木曽川	しんきそがわ	し	INIOAA	愛知県	名鉄	名古屋本線		4
新木場	しんきば	し	INIA	東京都	JR東日本	京葉線		3
鍼灸大学前	しんきゅうだいがくまえ	し	INUUAIAUAE	京都府	JR西日本	山陰本線		5
新清洲	しんきよす	し	INIOU	愛知県	名鉄	名古屋本線		3
新桐生	しんきりゅう	し	INIUU	群馬県	東武	桐生線		3
新宮	しんぐう	し	INUU	和歌山県	JR西日本	紀勢本線		2
神宮寺	じんぐうじ	じ	INUUI	秋田県	JR東日本	奥羽本線		3
新宮中央	しんぐうちゅうおう	し	INUUUUOO	福岡県	JR九州	鹿児島本線		4
神宮西	じんぐうにし	じ	INUUII	愛知県	名古屋市営地下鉄	名城線		3
神宮前	じんぐうまえ	じ	INUUAE	愛知県	名鉄	名古屋本線		3
神宮丸太町	じんぐうまるたまち	じ	INUUAUAAI	京都府	京阪	鴨東線		5
新倉敷	しんくらしき	し	INUAII	岡山県	JR西日本	山陽本線		3
新黒部	しんくろべ	し	INUOE	富山県	富山地鉄	本線		3
新家	しんげ	し	INE	大阪府	JR西日本	阪和線		2
新検見川	しんけみがわ	し	INEIAA	千葉県	JR東日本	総武本線		4
新小岩	しんこいわ	し	INOIA	東京都	JR東日本	総武本線		3
新郷(埼玉)	しんごう	し	INOO	埼玉県	秩父鉄道			2
新高円寺	しんこうえんじ	し	INOOENI	東京都	東京メトロ	丸ノ内線		4
新庚申塚	しんこうしんづか	し	INOOINUA	東京都	都電	荒川線		4
新神戸	しんこうべ	し	INOOE	兵庫県	JR西日本	山陽新幹線		3
新古河	しんこが	し	INOA	埼玉県	東武	日光線		3
新小金井	しんこがねい	し	INOAEI	東京都	西武	多摩川線		4
新越谷	しんこしがや	し	INOIAA	埼玉県	東武	伊勢崎線		3
新小平	しんこだいら	し	INOAIA	東京都	JR東日本	武蔵野線		3
新琴似	しんことに	し	INOOI	北海道	JR北海道	札沼線		3
新子安	しんこやす	し	INOAU	神奈川県	JR東日本	京浜東北線		3
新木屋瀬	しんこやのせ	し	INOAOE	福岡県	筑豊電鉄			4
しんざ	しんざ	し	INA	新潟県	北越急行			3
新在家	しんざいけ	し	INAIE	兵庫県	阪神	本線		3
新西大寺町筋	しんさいだいじちょうすじ	し	INAIAIIOOUI	岡山県	岡山電軌	清輝橋線		6
心斎橋	しんさいばし	し	INAIAI	大阪府	大阪市高速電気軌道	御堂筋線		3
新栄野	しんさかえの	し	INAAEO	北海道	JR北海道	石北本線	D	3
新栄町(福岡)	しんさかえまち	し	INAAEAI	福岡県	西鉄	天神大牟田線		3
新栄町(愛知)	しんさかえまち	し	INAAEAI	愛知県	名古屋市営地下鉄	東山線		3
新桜台	しんさくらだい	し	INAUAAI	東京都	西武	有楽町線		3
新札幌[JR北海道]	しんさっぽろ	し	INAOO	北海道	JR北海道	千歳線		3
新さっぽろ[札幌市営]	しんさっぽろ	し	INAOO	北海道	札幌市営地下鉄	東西線		5
新狭山	しんさやま	し	INAAA	埼玉県	西武	新宿線		3
新沢	しんさわ	し	INAA	秋田県	小坂鉄道		D	2
新三田	しんさんだ	し	INANA	兵庫県	JR西日本	福知山線		3
宍道	しんじ	し	INI	島根県	JR西日本	山陰本線		2
新静岡	しんしずおか	し	INIUOA	静岡県	静岡鉄道			3
新芝浦	しんしばうら	し	INIAUA	神奈川県	JR東日本	鶴見線		3
新柴又	しんしばまた	し	INIAAA	千葉県	北総鉄道			3
新島々	しんしましま	し	INIAIA	長野県	松本電鉄			3
新清水	しんしみず	し	INIIU	静岡県	静岡鉄道			3
新下関	しんしものせき	し	INIOOEI	山口県	JR西日本	山陽本線		3
信州中野	しんしゅうなかの	し	INUUAAO	長野県	長野電鉄			4
新宿	しんじゅく	し	INUU	東京都	JR東日本	山手線		2
新宿御苑前	しんじゅくぎょえんまえ	し	INUUOENAE	東京都	東京メトロ	丸ノ内線		5
新宿三丁目	しんじゅくさんちょうめ	し	INUUANOOE	東京都	東京メトロ	丸ノ内線		5
新宿西口	しんじゅくにしぐち	し	INUUIIUI	東京都	都営地下鉄	大江戸線		4
新正	しんしょう	し	INOO	三重県	近鉄	名古屋線		2
新庄	しんじょう	し	INOO	山形県	JR東日本	奥羽本線		2
新城(鹿児島)	しんじょう	し	INOO	鹿児島県	国鉄	大隅線	D	2
新庄田中	しんじょうたなか	し	INOOAAA	富山県	富山地鉄	本線		4
新所原	しんじょはら	し	INOAA	静岡県	JR東海	東海道本線		3
新白岡	しんしらおか	し	INIAOA	埼玉県	JR東日本	東北本線		3
新白河	しんしらかわ	し	INIAAA	福島県	JR東日本	東北本線		3
新城	しんしろ	し	INIO	愛知県	JR東海	飯田線		2
新水前寺	しんすいぜんじ	し	INUIENU	熊本県	JR九州	豊肥本線		4
新水前寺駅前	しんすいぜんじえきまえ	し	INUIENIEIAE	熊本県	熊本市電	水前寺線		6
新杉田	しんすぎた	し	INUIA	神奈川県	JR東日本	根岸線		3
新逗子	しんずし	し	INUI	神奈川県	京急	逗子線		3
新須屋	しんすや	し	INUA	熊本県	熊本電鉄	菊池線		3
新生	しんせい	し	INEI	北海道	国鉄	広尾線	D	2
新整備場	しんせいびじょう	し	INEIIOO	東京都	東京モノレール			4
新関	しんせき	し	INEI	新潟県	JR東日本	磐越西線		2
新瀬戸	しんせと	し	INEO	愛知県	名鉄	瀬戸線		3
神泉	しんせん	し	INEN	東京都	京王	井の頭線		2
新線新宿	しんせんしんじゅく	し	INENINUU	東京都	京王	新線		4
心臓血管センター	しんぞうけっかんせんたー	し	INOOEANENAA	群馬県	上毛電鉄			8
神代(秋田)	じんだい	じ	INAI	秋田県	JR東日本	田沢湖線		2
新大工町	しんだいくまち	し	INAIUAI	長崎県	長崎電軌	蛍茶屋支線		4
新代田	しんだいた	し	INAIA	東京都	京王	井の頭線		3
新高岡	しんたかおか	し	INAAOA	富山県	JR西日本	城端線		3
新高島	しんたかしま	し	INAAIA	神奈川県	横浜高速鉄道			3
新高島平	しんたかしまだいら	し	INAAIAAIA	東京都	都営地下鉄	三田線		4
新高徳	しんたかとく	し	INAAOU	栃木県	東武	鬼怒川線		3
新田辺	しんたなべ	し	INAAE	京都府	近鉄	京都線		3
新玉名	しんたまな	し	INAAA	熊本県	JR九州	九州新幹線		3
新地	しんち	し	INI	福島県	JR東日本	常磐線		2
新地中華街	しんちちゅうかがい	し	INIUUAAI	長崎県	長崎電軌	本線		5
新千歳空港	しんちとせくうこう	し	INIOEUUOO	北海道	JR北海道	千歳線		5
新千葉	しんちば	し	INIA	千葉県	京成	千葉線		3
新津田沼	しんつだぬま	し	INUAUA	千葉県	新京成電鉄			4
新鶴羽	しんつるば	し	INUUA	熊本県	くま川鉄道			3
神鉄道場	しんてつどうじょう	し	INEUOOOO	兵庫県	神鉄	三田線		4
神鉄六甲	しんてつろっこう	し	INEUOOO	兵庫県	神鉄	有馬線		4
新田(京都)	しんでん	し	INEN	京都府	JR西日本	奈良線		2
新田(埼玉)	しんでん	し	INEN	埼玉県	東武	伊勢崎線		2
神田交通局前	しんでんこうつうきょくまえ	し	INENOOUUOUAE	鹿児島県	鹿児島市電	唐湊線		6
新田原	しんでんばる	し	INENAU	福岡県	JR九州	日豊本線		3
新堂	しんどう	し	INOO	三重県	JR西日本	関西本線		2
新道東	しんどうひがし	し	INOOIAI	北海道	札幌市営地下鉄	東豊線		3
新得	しんとく	し	INOU	北海道	JR北海道	根室本線		2
新所沢	しんところざわ	し	INOOOAA	埼玉県	西武	新宿線		3
新鳥栖	しんとす	し	INOU	佐賀県	JR九州	長崎本線		3
新栃木	しんとちぎ	し	INOII	栃木県	東武	日光線		3
新十津川	しんとつかわ	し	INOUAA	北海道	JR北海道	札沼線		4
新富町(東京)	しんとみちょう	し	INOIOO	東京都	東京メトロ	有楽町線		3
新富町(富山)	しんとみちょう	し	INOIOO	富山県	富山地鉄	市内軌道線		3
新豊川	しんとよかわ	し	INOOAA	大分県	大分交通	豊州線	D	3
新豊洲	しんとよす	し	INOOU	東京都	ゆりかもめ			3
新豊田	しんとよた	し	INOOA	愛知県	愛知環状鉄道			3
新豊津	しんとよつ	し	INOOU	福岡県	平成筑豊鉄道	田川線		3
新豊橋	しんとよはし	し	INOOAI	愛知県	豊橋鉄道	渥美線		3
新取手	しんとりで	し	INOIE	茨城県	関東鉄道	常総線		3
新那加	しんなか	し	INAA	岐阜県	名鉄	各務原線		3
新中川町	しんなかがわまち	し	INAAAAAI	長崎県	長崎電軌	蛍茶屋支線		4
新長田	しんながた	し	INAAA	兵庫県	JR西日本	山陽本線		3
新中野	しんなかの	し	INAAO	東京都	東京メトロ	丸ノ内線		3
新習志野	しんならしの	し	INAAIO	千葉県	JR東日本	京葉線		4
新南陽	しんなんよう	し	INANOO	山口県	JR西日本	山陽本線		3
新西金沢	しんにしかなざわ	し	INIIAAAA	石川県	北陸鉄道	石川線		4
新西脇	しんにしわき	し	INIIAI	兵庫県	JR西日本	加古川線		3
新日鉄前	しんにってつまえ	し	INIEUAE	愛知県	名鉄	常滑線		4
新日本橋	しんにほんばし	し	INIONAI	東京都	JR東日本	総武快速線		4
新入	しんにゅう	し	INUU	福岡県	JR九州	筑豊本線		2
新能町	しんのうまち	し	INOOAI	富山県	万葉線			3
陣原	じんのはる	じ	INOAU	福岡県	JR九州	鹿児島本線		2
陣場	じんば	じ	INA	秋田県	JR東日本	奥羽本線		2
新白島	しんはくしま	し	INAUIA	広島県	JR西日本	山陽本線		3
新函館北斗	しんはこだてほくと	し	INAOAEOUO	北海道	JR北海道	函館本線		5
新橋	しんばし	し	INAI	東京都	JR東日本	東海道本線		2
新羽島	しんはしま	し	INAIA	岐阜県	名鉄	羽島線		3
新花巻	しんはなまき	し	INAAAI	岩手県	JR東日本	釜石線		3
新浜松	しんはままつ	し	INAAAU	静岡県	遠州鉄道			3
新原	しんばる	し	INAU	福岡県	JR九州	香椎線		2
新馬場	しんばんば	し	INANA	東京都	京急	本線		3
新疋田	しんひきだ	し	INIIA	福井県	JR西日本	北陸本線		3
新平野	しんひらの	し	INIAO	福井県	JR西日本	小浜線		3
新広	しんひろ	し	INIO	広島県	JR西日本	呉線		2
新府	しんぷ	し	INU	山梨県	JR東日本	中央本線		2
新深江	しんふかえ	し	INUAE	大阪府	大阪市高速電気軌道	千日前線		3
新福井	しんふくい	し	INUUI	福井県	えちぜん鉄道	勝山永平寺線		3
新福島	しんふくしま	し	INUUIA	大阪府	JR西日本	東西線		3
新福島(福井)	しんふくしま	し	INUUIA	福井県	京福電鉄	丸岡線	D	3
新富士(北海道)	しんふじ	し	INUI	北海道	JR北海道	根室本線		3
新富士(静岡)	しんふじ	し	INUI	静岡県	JR東海	東海道新幹線		3
新藤原	しんふじわら	し	INUIAA	栃木県	東武	鬼怒川線		3
新船橋	しんふなばし	し	INUAAI	千葉県	東武	野田線		3
新保	しんぼ	し	INO	福井県	国鉄	北陸本線	D	2
新祝園	しんほうその	し	INOOOO	京都府	近鉄	京都線		3
神保町	じんぼうちょう	じ	INOOOO	東京都	東京メトロ	半蔵門線		3
新鉾田	しんほこた	し	INOOA	茨城県	鹿島臨海鉄道	大洗鹿島線		3
神保原	じんぼはら	じ	INOAA	埼玉県	JR東日本	高崎線		3
新舞子	しんまいこ	し	INAIO	愛知県	名鉄	常滑線		3
新前橋	しんまえばし	し	INAEAI	群馬県	JR東日本	上越線		3
新町(群馬)	しんまち	し	INAI	群馬県	JR東日本	高崎線		2
新町(熊本)	しんまち	し	INAI	熊本県	熊本市電	上熊本線		2
神町	じんまち	じ	INAI	山形県	JR東日本	奥羽本線		2
新町口	しんまちぐち	し	INAIUI	富山県	万葉線			3
新松田	しんまつだ	し	INAUA	神奈川県	小田急	小田原線		3
新松戸	しんまつど	し	INAUO	千葉県	JR東日本	常磐線		3
新丸子	しんまるこ	し	INAUO	神奈川県	東急	東横線		3
新三河島	しんみかわしま	し	INIAAIA	東京都	京成	本線		4
新三郷	しんみさと	し	INIAO	埼玉県	JR東日本	武蔵野線		3
新水俣	しんみなまた	し	INIAAA	熊本県	肥薩おれんじ鉄道			3
新宮川	しんみやかわ	し	INIAAA	富山県	富山地鉄	本線		3
神武寺	じんむじ	じ	INUI	神奈川県	京急	逗子線		3
神明	しんめい	し	INEI	福井県	福井鉄道	福武線		2
神明(北海道)	しんめい	し	INEI	北海道	JR北海道	江差線	D	2
神明町	しんめいちょう	し	INEIOO	大阪府	阪堺電軌	阪堺線		3
神明前	しんめいまえ	し	INEIAE	岩手県	花巻電鉄	鉛線	D	3
新茂原	しんもばら	し	INOAA	千葉県	JR東日本	外房線		3
新森古市	しんもりふるいち	し	INOIUUII	大阪府	大阪市高速電気軌道	今里筋線		4
新守谷	しんもりや	し	INOIA	茨城県	関東鉄道	常総線		3
新守山	しんもりやま	し	INOIAA	愛知県	JR東海	中央本線		3
新屋敷	しんやしき	し	INAII	鹿児島県	鹿児島市電	第一期線		3
新八代	しんやつしろ	し	INAUIO	熊本県	JR九州	鹿児島本線		3
新八柱	しんやはしら	し	INAAIA	千葉県	JR東日本	武蔵野線		3
新山口	しんやまぐち	し	INAAUI	山口県	JR西日本	山陽本線		3
新弥生	しんやよい	し	INAOI	北海道	国鉄	天北線	D	3
新夕張	しんゆうばり	し	INUUAI	北海道	JR北海道	石勝線		3
新百合ヶ丘	しんゆりがおか	し	INUIAOA	神奈川県	小田急	小田原線		5
新八日市	しんようかいち	し	INOOAII	滋賀県	近江鉄道	八日市線		4
新横浜	しんよこはま	し	INOOAA	神奈川県	JR東日本	横浜線		3
新吉野	しんよしの	し	INOIO	北海道	JR北海道	根室本線		3
新吉久	しんよしひさ	し	INOIIA	富山県	万葉線			3
新利府	しんりふ	し	INIU	宮城県	JR東日本	利府線		3
神領	じんりょう	じ	INOO	愛知県	JR東海	中央本線		2
森林公園(北海道)	しんりんこうえん	し	ININOOEN	北海道	JR北海道	函館本線		4
森林公園(埼玉)	しんりんこうえん	し	ININOOEN	埼玉県	東武	東上線		4
水郷	すいごう	す	UIOO	千葉県	JR東日本	成田線		2
瑞光四丁目	ずいこうよんちょうめ	ず	UIOOONOOE	大阪府	大阪市高速電気軌道	今里筋線		5
水前寺	すいぜんじ	す	UIENI	熊本県	JR九州	豊肥本線		3
水前寺公園	すいぜんじこうえん	す	UIENIOOEN	熊本県	熊本市電	水前寺線		5
水族館口	すいぞくかんぐち	す	UIOUANUI	鹿児島県	鹿児島市電	第一期線		4
吹田(JR西日本)	すいた	す	UIA	大阪府	JR西日本	東海道本線		2
吹田(阪急)	すいた	す	UIA	大阪府	阪急	千里線		2
杉津	すいづ	す	UIU	福井県	国鉄	北陸本線	D	2
水天宮前	すいてんぐうまえ	す	UIENUUAE	東京都	東京メトロ	半蔵門線		4
水道町	すいどうちょう	す	UIOOOO	熊本県	熊本市電	幹線		3
水道橋	すいどうばし	す	UIOOAI	東京都	JR東日本	中央本線		3
水原	すいばら	す	UIAA	新潟県	JR東日本	羽越本線		2
須恵[福岡]	すえ	す	UE	福岡県	JR九州	香椎線		2
陶[香川]	すえ	す	UE	香川県	琴電	琴平線		1
すえたちばな	すえたちばな	す	UEAIAA	長崎県	松浦鉄道			6
須恵中央	すえちゅうおう	す	UEUUOO	福岡県	JR九州	香椎線		4
末続	すえつぎ	す	UEUI	福島県	JR東日本	常磐線		2
末恒	すえつね	す	UEUE	鳥取県	JR西日本	山陰本線		2
陶の谷	すえのたに	す	UEOAI	福井県	福井鉄道	鯖浦線	D	3
末野原	すえのはら	す	UEOAA	愛知県	愛知環状鉄道			3
末広	すえひろ	す	UEIO	秋田県	JR東日本	花輪線		2
末広町(東京)	すえひろちょう	す	UEIOOO	東京都	東京メトロ	銀座線		3
末広町(北海道)	すえひろちょう	す	UEIOOO	北海道	函館市電	本線		3
末広町(富山)	すえひろちょう	す	UEIOOO	富山県	万葉線			3
末広町(貨)	すえひろちょう	す	UEIOOO	神奈川県	神奈川臨海鉄道			3
末吉	すえよし	す	UEOI	鹿児島県	国鉄	志布志線	D	2
周防久保	すおうくぼ	す	UOOUO	山口県	JR西日本	岩徳線		4
周防佐山	すおうさやま	す	UOOAAA	山口県	JR西日本	宇部線		4
周防下郷	すおうしもごう	す	UOOIOO	山口県	JR西日本	山口線		4
周防高森	すおうたかもり	す	UOOAAOI	山口県	JR西日本	岩徳線		4
周防花岡	すおうはなおか	す	UOOAAOA	山口県	JR西日本	岩徳線		4
周防宮市	すおうみやいち	す	UOOIAII	山口県	防石鉄道		D	4
須賀	すか	す	UA	岐阜県	名鉄	竹鼻線		2
スカイ獅子吼	すかいししく	す	UAIIIU	石川県	獅子吼高原ゴンドラ			6
菅尾	すがお	す	UAO	大分県	JR九州	豊肥本線		2
須賀川	すかがわ	す	UAAA	福島県	JR東日本	東北本線		3
須ヶ口	すかぐち	す	UAUI	愛知県	名鉄	名古屋本線		3
姿見	すがたみ	す	UAAI	北海道	旭岳ロープウェイ			2
菅野	すがの	す	UAO	千葉県	京成	本線		2
巣鴨	すがも	す	UAO	東京都	JR東日本	山手線		2
巣鴨新田	すがもしんでん	す	UAOINEN	東京都	都電	荒川線		4
菅谷	すがや	す	UAA	福島県	JR東日本	磐越東線		2
酸川野	すかわの	す	UAAO	福島県	日本硫黄沼尻鉄道		D	3
杉河内	すぎかわち	す	UIAAI	大分県	JR九州	久大本線		3
杉崎	すぎさき	す	UIAI	岐阜県	JR東海	高山本線		2
杉田(福島)	すぎた	す	UIA	福島県	JR東日本	東北本線		2
杉田(神奈川)	すぎた	す	UIA	神奈川県	京急	本線		2
杉戸高野台	すぎとたかのだい	す	UIOAAOAI	埼玉県	東武	日光線		5
杉塘	すぎども	す	UIOO	熊本県	熊本市電	上熊本線		2
杉並町	すぎなみちょう	す	UIAIOO	北海道	函館市電	湯の川線		3
杉橋	すぎはし	す	UIAI	宮城県	くりはら田園鉄道		D	2
杉原	すぎはら	す	UIAA	岐阜県	JR東海	高山本線		2
杉本町	すぎもとちょう	す	UIOOOO	大阪府	JR西日本	阪和線		3
